PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
211,32.5956308,129.2959479,-1.616,-113.726,-13.52,1,4929,33,99
212,32.595634,129.2959485,-1.616,-112.737,-13.372,1,4929,33,99
213,32.5956372,129.2959491,-1.616,-111.748,-13.224,1,4929,33,99
214,32.5956404,129.2959496,-1.616,-110.759,-13.076,1,4929,33,99
215,32.5956436,129.2959502,-1.616,-109.77,-12.928,1,4929,33,99
216,32.5956469,129.2959508,-1.616,-108.781,-12.78,1,4929,33,99
217,32.5956501,129.2959513,-1.616,-107.792,-12.632,1,4929,33,99
218,32.5956533,129.2959519,-1.616,-106.803,-12.484,1,4929,33,99
219,32.5956565,129.2959525,-1.616,-105.814,-12.336,1,4929,33,99
220,32.5956597,129.295953,-1.616,-104.825,-12.188,1,4929,33,99
221,32.5956629,129.2959536,-1.616,-103.836,-12.04,1,4929,33,99
222,32.5956661,129.2959542,-1.616,-102.847,-11.892,1,4929,33,99
223,32.5956693,129.2959548,-1.616,-101.858,-11.744,1,4929,33,99
224,32.5956725,129.2959553,-1.616,-100.869,-11.596,1,4929,33,99
225,32.5956758,129.2959559,-1.616,-99.88,-11.448,1,4929,33,99
226,32.595679,129.2959565,-1.616,-98.891,-11.3,1,4929,33,99
227,32.5956822,129.295957,-1.616,-97.902,-11.152,1,4929,33,99
228,32.5956854,129.2959576,-1.616,-96.913,-11.004,1,4929,33,99
229,32.5956886,129.2959582,-1.616,-95.924,-10.856,1,4929,33,99
230,32.5956918,129.2959587,-1.616,-94.935,-10.708,1,4929,33,99
231,32.595695,129.2959593,-1.616,-93.946,-10.56,1,4929,33,99
232,32.5956982,129.2959599,-1.616,-92.957,-10.412,1,4929,33,99
233,32.5957014,129.2959605,-1.616,-91.968,-10.264,1,4929,33,99
234,32.5957046,129.295961,-1.616,-90.979,-10.116,1,4929,33,99
235,32.5957079,129.2959616,-1.616,-89.99,-9.968,1,4929,33,99
236,32.5957111,129.2959622,-1.616,-89.001,-9.82,1,4929,33,99
237,32.5957143,129.2959627,-1.616,-88.012,-9.672,1,4929,33,99
238,32.5957175,129.2959633,-1.616,-87.023,-9.524,1,4929,33,99
239,32.5957207,129.2959639,-1.616,-86.034,-9.376,1,4929,33,99
240,32.5957239,129.2959644,-1.616,-85.045,-9.228,1,4929,33,99
241,32.5957271,129.295965,-1.616,-84.056,-9.08,1,4929,33,99
242,32.5957303,129.2959656,-1.616,-83.067,-8.932,1,4929,33,99
243,32.5957335,129.2959662,-1.616,-82.078,-8.784,1,4929,33,99
244,32.5957368,129.2959667,-1.616,-81.089,-8.636,1,4929,33,99
245,32.59574,129.2959673,-1.616,-80.1,-8.488,1,4929,33,99
246,32.5957432,129.2959679,-1.616,-79.111,-8.34,1,4929,33,99
247,32.5957464,129.2959684,-1.616,-78.122,-8.192,1,4929,33,99
248,32.5957496,129.295969,-1.616,-77.133,-8.044,1,4929,33,99
249,32.5957528,129.2959696,-1.616,-76.144,-7.896,1,4929,33,99
250,32.595756,129.2959702,-1.616,-75.155,-7.748,1,4929,33,99
251,32.5957592,129.2959707,-1.616,-74.166,-7.6,1,4929,33,99
252,32.5957624,129.2959713,-1.616,-73.177,-7.452,1,4929,33,99
253,32.5957657,129.2959719,-1.616,-72.188,-7.304,1,4929,33,99
254,32.5957689,129.2959724,-1.616,-71.199,-7.156,1,4929,33,99
255,32.5957721,129.295973,-1.616,-70.21,-7.008,1,4929,33,99
256,32.5957753,129.2959736,-1.616,-69.221,-6.86,1,4929,33,99
257,32.5957785,129.2959741,-1.616,-68.232,-6.712,1,4929,33,99
258,32.5957817,129.2959747,-1.616,-67.243,-6.564,1,4929,33,99
259,32.5957849,129.2959753,-1.616,-66.254,-6.416,1,4929,33,99
260,32.5957881,129.2959759,-1.616,-65.265,-6.268,1,4929,33,99
261,32.5957913,129.2959764,-1.616,-64.276,-6.12,1,4929,33,99
262,32.5957945,129.295977,-1.616,-63.287,-5.972,1,4929,33,99
263,32.5957978,129.2959776,-1.616,-62.298,-5.824,1,4929,33,99
264,32.595801,129.2959781,-1.616,-61.309,-5.676,1,4929,33,99
265,32.5958042,129.2959787,-1.616,-60.32,-5.528,1,4929,33,99
266,32.5958074,129.2959793,-1.616,-59.331,-5.38,1,4929,33,99
267,32.5958106,129.2959798,-1.616,-58.342,-5.232,1,4929,33,99
268,32.5958138,129.2959804,-1.616,-57.353,-5.084,1,4929,33,99
269,32.595817,129.295981,-1.616,-56.364,-4.936,1,4929,33,99
270,32.5958202,129.2959816,-1.616,-55.375,-4.788,1,4929,33,99
271,32.5958234,129.2959821,-1.616,-54.386,-4.64,1,4929,33,99
272,32.5958267,129.2959827,-1.616,-53.397,-4.492,1,4929,33,99
273,32.5958299,129.2959833,-1.616,-52.408,-4.344,1,4929,33,99
274,32.5958331,129.2959838,-1.616,-51.419,-4.196,1,4929,33,99
275,32.5958363,129.2959844,-1.616,-50.43,-4.048,1,4929,33,99
276,32.5958395,129.295985,-1.616,-49.441,-3.9,1,4929,33,99
277,32.5958425,129.2959855,-1.616,-48.522,-3.763,1,4929,33,99
278,32.5955267,129.2959517,-10.262,-145.808,-12.549,1,4929,33,99
279,32.5955295,129.2959554,-10.262,-144.942,-11.572,1,4929,33,99
280,32.5955374,129.295957,-10.262,-142.505,-11.151,1,4929,33,99
