PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
34,0,0,0.5260700000000043,-92.33176464634016,-17.950608777435264,0,0,0,0
35,0,0,0.5424700000000087,-92.35916943149641,-17.772386121185264,0,0,0,0
36,0,0,0.5637700000000052,-92.38657421665266,-17.594163464935264,0,0,0,0
37,0,0,0.6194700000000068,-92.55039257602766,-17.078599500091514,0,0,0,0
38,0,0,0.6530700000000138,-92.60495800571516,-16.906785535247764,0,0,0,0
39,0,0,0.6840700000000197,-92.65958447055891,-16.734971570404014,0,0,0,0
40,0,0,0.7060700000000111,-92.73996777134016,-16.573594617279014,0,0,0,0
41,0,0,0.7210700000000259,-92.82041210727766,-16.412156628997764,0,0,0,0
42,0,0,0.7350700000000074,-92.90079540805891,-16.250779675872764,0,0,0,0
43,0,0,0.7430700000000172,-92.98136181430891,-16.089402722747764,0,0,0,0
44,0,0,0.7470700000000079,-93.06180615024641,-15.928208875091514,0,0,0,0
45,0,0,0.7540700000000129,-93.16617626743391,-15.780992078216514,0,0,0,0
46,0,0,0.7680700000000229,-93.27060741977766,-15.633958386810264,0,0,0,0
47,0,0,0.775376298000026,-93.37497753696516,-15.486985730560264,0,0,0,0
48,0,0,0.7929700000000253,-93.47940868930891,-15.340013074310264,0,0,0,0
49,0,0,0.8185700000000224,-93.58359570102766,-15.192979382904014,0,0,0,0
50,0,0,-0.26773000000000025,-85.48337597446516,-24.131394910247764,0,0,0,0
51,0,0,-0.2359299999999962,-85.59378857212141,-24.028367566497764,0,0,0,0
52,0,0,-0.21792999999999552,-85.70420116977766,-23.925401257904014,0,0,0,0
53,0,0,-0.1939299999999946,-85.81455273227766,-23.822373914154014,0,0,0,0
54,0,0,-0.17592999999999392,-85.92478222446516,-23.719407605560264,0,0,0,0
55,0,0,-0.16092999999997915,-86.05118603305891,-23.636582898529014,0,0,0,0
56,0,0,-0.14692999999999756,-86.17740673618391,-23.553758191497764,0,0,0,0
57,0,0,-0.12292999999999665,-86.30381054477766,-23.471177625091514,0,0,0,0
58,0,0,-0.09993000000000052,-86.43015331821516,-23.388413953216514,0,0,0,0
59,0,0,-0.07092999999997573,-86.56858105259016,-23.328355359466514,0,0,0,0
60,0,0,-0.05592999999998938,-86.70719189243391,-23.268357800872764,0,0,0,0
61,0,0,-0.05582999999998606,-86.84580273227766,-23.208360242279014,0,0,0,0
62,0,0,-0.05392999999997983,-86.98441357212141,-23.148362683685264,0,0,0,0
63,0,0,-0.05392999999997983,-87.13095898227766,-23.112779187591514,0,0,0,0
64,0,0,-0.05292999999997505,-87.27780956821516,-23.077195691497764,0,0,0,0
65,0,0,-0.0519299999999987,-87.42459911899641,-23.041795300872764,0,0,0,0
66,0,0,-0.0519299999999987,-87.57120556430891,-23.006211804779014,0,0,0,0
67,0,0,-0.050929999999993925,-87.72196240024641,-22.996202039154014,0,0,0,0
68,0,0,-0.050929999999993925,-87.87259716587141,-22.986009168060264,0,0,0,0
69,0,0,-0.0549299999999846,-88.02317089634016,-22.975999402435264,0,0,0,0
70,0,0,-0.059929999999980055,-88.17380566196516,-22.965989636810264,0,0,0,0
71,0,0,-0.059929999999980055,-88.32401318149641,-22.981797742279014,0,0,0,0
72,0,0,-0.06392999999999915,-88.47415966587141,-22.997605847747764,0,0,0,0
73,0,0,-0.06392999999999915,-88.62436718540266,-23.013169812591514,0,0,0,0
74,0,0,-0.06692999999998506,-88.77457470493391,-23.028977918060264,0,0,0,0
75,0,0,-0.06692999999998506,-88.91977734165266,-23.069993543060264,0,0,0,0
76,0,0,-0.0689299999999946,-89.06516308384016,-23.111192273529014,0,0,0,0
