DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
266,265,342,0,0,1,1,1,1,1
267,266,340,0,0,1,1,1,1,1
268,267,339,0,0,1,1,1,1,1
269,268,337,0,0,1,1,1,1,1
270,269,277,0,0,1,1,1,1,1
271,270,278,0,0,1,1,1,1,1
272,271,279,0,0,1,1,1,1,1
273,272,280,0,0,1,1,1,1,1
274,273,281,0,0,1,1,1,1,1
275,274,282,0,0,1,1,1,1,1
276,275,283,0,0,1,1,1,1,1
277,276,284,0,0,1,1,1,1,1
278,277,285,0,0,1,1,1,1,1
279,278,286,0,0,1,1,1,1,1
280,279,287,0,0,1,1,1,1,1
281,280,288,0,0,1,1,1,1,1
282,281,289,0,0,1,1,1,1,1
283,282,290,0,0,1,1,1,1,1
284,283,291,0,0,1,1,1,1,1
285,284,292,0,0,1,1,1,1,1
286,285,293,0,0,1,1,1,1,1
287,286,294,0,0,1,1,1,1,1
288,287,295,0,0,1,1,1,1,1
289,288,296,0,0,1,1,1,1,1
290,289,297,0,0,1,1,1,1,1
291,290,298,0,0,1,1,1,1,1
292,291,299,0,0,1,1,1,1,1
293,292,300,0,0,1,1,1,1,1
294,293,301,0,0,1,1,1,1,1
295,294,302,0,0,1,1,1,1,1
296,295,303,0,0,1,1,1,1,1
297,296,304,0,0,1,1,1,1,1
298,297,305,0,0,1,1,1,1,1
299,298,306,0,0,1,1,1,1,1
300,299,307,0,0,1,1,1,1,1
301,300,308,0,0,1,1,1,1,1
302,301,309,0,0,1,1,1,1,1
303,302,310,0,0,1,1,1,1,1
304,303,311,0,0,1,1,1,1,1
305,304,312,0,0,1,1,1,1,1
306,305,313,0,0,1,1,1,1,1
307,306,314,0,0,1,1,1,1,1
308,307,315,0,0,1,1,1,1,1
309,308,316,0,0,1,1,1,1,1
310,309,317,0,0,1,1,1,1,1
311,310,318,0,0,1,1,1,1,1
312,311,319,0,0,1,1,1,1,1
313,312,320,0,0,1,1,1,1,1
314,313,321,0,0,1,1,1,1,1
315,314,322,0,0,1,1,1,1,1
316,315,323,0,0,1,1,1,1,1
317,316,324,0,0,1,1,1,1,1
318,317,325,0,0,1,1,1,1,1
319,318,326,0,0,1,1,1,1,1
320,319,327,0,0,1,1,1,1,1
321,320,328,0,0,1,1,1,1,1
322,321,329,0,0,1,1,1,1,1
323,322,330,0,0,1,1,1,1,1
324,323,331,0,0,1,1,1,1,1
325,324,332,0,0,1,1,1,1,1
326,325,333,0,0,1,1,1,1,1
327,326,334,0,0,1,1,1,1,1
328,327,276,0,0,1,1,1,1,1
329,328,336,0,0,1,1,1,1,1
330,329,275,0,0,1,1,1,1,1
331,330,338,0,0,1,1,1,1,1
332,331,274,0,0,1,1,1,1,1
333,332,272,0,0,1,1,1,1,1
334,333,341,0,0,1,1,1,1,1
335,334,273,0,0,1,1,1,1,1
336,335,343,0,0,1,1,1,1,1
337,336,344,0,0,1,1,1,1,1
338,337,345,0,0,1,1,1,1,1
339,338,346,0,0,1,1,1,1,1
340,339,347,0,0,1,1,1,1,1
341,340,348,0,0,1,1,1,1,1
342,341,349,0,0,1,1,1,1,1
343,342,350,0,0,1,1,1,1,1
344,343,351,0,0,1,1,1,1,1
345,344,352,0,0,1,1,1,1,1
346,345,353,0,0,1,1,1,1,1
347,346,354,0,0,1,1,1,1,1
348,347,355,0,0,1,1,1,1,1
349,348,356,0,0,1,1,1,1,1
350,349,357,0,0,1,1,1,1,1
351,350,358,0,0,1,1,1,1,1
352,351,359,0,0,1,1,1,1,1
353,352,360,0,0,1,1,1,1,1
354,353,361,0,0,1,1,1,1,1
355,354,362,0,0,1,1,1,1,1
356,355,363,0,0,1,1,1,1,1
357,356,364,0,0,1,1,1,1,1
358,357,365,0,0,1,1,1,1,1
359,358,366,0,0,1,1,1,1,1
360,359,367,0,0,1,1,1,1,1
361,360,368,0,0,1,1,1,1,1
362,361,369,0,0,1,1,1,1,1
363,362,370,0,0,1,1,1,1,1
364,363,371,0,0,1,1,1,1,1
365,364,372,0,0,1,1,1,1,1
366,365,373,0,0,1,1,1,1,1
367,366,374,0,0,1,1,1,1,1
368,367,375,0,0,1,1,1,1,1
369,368,376,0,0,1,1,1,1,1
370,369,1,0,0,1,1,1,1,1
371,370,378,0,0,1,1,1,1,1
372,371,379,0,0,1,1,1,1,1
373,372,380,0,0,1,1,1,1,1
