PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
446,32.5954765,129.3000896,-10.303,-161.257,23.254,1,4929,34,90
447,32.595476,129.3000934,-10.303,-161.397,24.244,1,4929,34,90
448,32.5954756,129.3000972,-10.303,-161.537,25.234,1,4929,34,90
449,32.5954751,129.300101,-10.303,-161.677,26.224,1,4929,34,90
450,32.5954747,129.3001048,-10.303,-161.817,27.214,1,4929,34,90
451,32.5954742,129.3001087,-10.303,-161.957,28.204,1,4929,34,90
452,32.5954738,129.3001125,-10.303,-162.097,29.194,1,4929,34,90
453,32.5954733,129.3001163,-10.303,-162.237,30.184,1,4929,34,90
454,32.5954729,129.3001201,-10.303,-162.377,31.174,1,4929,34,90
455,32.5954724,129.3001239,-10.303,-162.517,32.164,1,4929,34,90
456,32.595472,129.3001277,-10.303,-162.657,33.154,1,4929,34,90
457,32.5954715,129.3001315,-10.303,-162.797,34.144,1,4929,34,90
458,32.595471,129.3001354,-10.303,-162.937,35.134,1,4929,34,90
459,32.5954706,129.3001392,-10.303,-163.077,36.124,1,4929,34,90
460,32.5954701,129.300143,-10.303,-163.217,37.114,1,4929,34,90
461,32.5954697,129.3001468,-10.303,-163.357,38.104,1,4929,34,90
462,32.5954692,129.3001506,-10.303,-163.497,39.094,1,4929,34,90
463,32.5954688,129.3001544,-10.303,-163.637,40.084,1,4929,34,90
464,32.5954683,129.3001582,-10.303,-163.777,41.074,1,4929,34,90
465,32.5954679,129.3001621,-10.303,-163.917,42.064,1,4929,34,90
466,32.5954674,129.3001659,-10.303,-164.057,43.054,1,4929,34,90
467,32.595467,129.3001697,-10.303,-164.197,44.044,1,4929,34,90
468,32.5954665,129.3001735,-10.303,-164.337,45.034,1,4929,34,90
469,32.595466,129.3001773,-10.303,-164.477,46.024,1,4929,34,90
470,32.5954656,129.3001811,-10.303,-164.617,47.014,1,4929,34,90
471,32.5954653,129.3001836,-10.303,-164.709,47.667,1,4929,34,90
472,32.5954923,129.2959588,-10.303,-156.376,-10.695,1,4929,33,99
473,32.595492,129.2959599,-10.303,-156.498,-10.406,1,4929,33,99
474,32.5954952,129.2959512,-10.303,-155.503,-12.657,1,4929,33,99
475,32.5954949,129.2959517,-10.303,-155.6,-12.538,1,4929,33,99
476,32.5954993,129.2959453,-10.303,-154.242,-14.209,1,4929,33,99
477,32.5955062,129.2959387,-10.303,-152.107,-15.91,1,4929,33,99
478,32.5955037,129.29594,-10.303,-152.881,-15.582,1,4929,33,99
479,32.5955057,129.2959347,-10.303,-152.249,-16.94,1,4929,33,99
480,32.5955025,129.2959343,-10.303,-153.241,-17.065,1,4929,33,99
481,32.5954993,129.2959338,-10.303,-154.233,-17.19,1,4929,33,99
482,32.5954961,129.2959333,-10.303,-155.225,-17.315,1,4929,33,99
483,32.5954929,129.2959328,-10.303,-156.217,-17.44,1,4929,33,99
484,32.5954896,129.2959323,-10.303,-157.209,-17.565,1,4929,33,99
485,32.5954864,129.2959318,-10.303,-158.201,-17.69,1,4929,33,99
486,32.5954832,129.2959314,-10.303,-159.193,-17.815,1,4929,33,99
487,32.59548,129.2959309,-10.303,-160.185,-17.94,1,4929,33,99
488,32.5954768,129.2959304,-10.303,-161.177,-18.065,1,4929,33,99
489,32.5954735,129.2959299,-10.303,-162.169,-18.19,1,4929,33,99
490,32.5954703,129.2959294,-10.303,-163.161,-18.315,1,4929,33,99
491,32.5954671,129.295929,-10.303,-164.153,-18.44,1,4929,33,99
492,32.5954639,129.2959285,-10.303,-165.145,-18.565,1,4929,33,99
493,32.5954607,129.295928,-10.303,-166.137,-18.69,1,4929,33,99
494,32.5954574,129.2959275,-10.303,-167.129,-18.815,1,4929,33,99
495,32.5954542,129.295927,-10.303,-168.121,-18.94,1,4929,33,99
496,32.595451,129.2959266,-10.303,-169.113,-19.065,1,4929,33,99
497,32.5954478,129.2959261,-10.303,-170.105,-19.19,1,4929,33,99
498,32.5954446,129.2959256,-10.303,-171.097,-19.315,1,4929,33,99
499,32.5954413,129.2959251,-10.303,-172.089,-19.44,1,4929,33,99
500,32.5954381,129.2959246,-10.303,-173.081,-19.565,1,4929,33,99
